le_mass,rt_aligned,dt,completeness,homogeneity
0.00029999999992469384,0.01452676555504553,0.030000000000001137,0.8595070621035186,1.0000000000000002
0.00029999999992469384,0.01452676555504553,0.07300000000000324,0.8595796044822801,0.9999999999999997
0.00029999999992469384,0.01452676555504553,0.10699999999999932,0.8596639675237991,0.9999979744940226
0.00029999999992469384,0.01452676555504553,0.14100000000000534,0.8597293319425742,0.9999969617410335
0.00029999999992469384,0.01452676555504553,0.17899999999999494,0.8598097645543828,0.9999969617410337
0.00029999999992469384,0.01452676555504553,0.2260000000000062,0.8598757968929543,0.9999969617410334
0.00029999999992469384,0.01452676555504553,0.29300000000000637,0.8599554473102831,0.9999959489880449
0.00029999999992469384,0.01452676555504553,0.40099999999999625,0.8600382001902308,0.9999959489880448
0.00029999999992469384,0.01452676555504553,0.761999999999994,0.8601017427700175,0.9999959489880449
0.00029999999992469384,0.01452676555504553,128.57800000000003,0.8601280895491313,0.999994936235056
0.00029999999992469384,0.0348698673208375,0.030000000000001137,0.8595855909238738,0.9999999999999998
0.00029999999992469384,0.0348698673208375,0.07300000000000324,0.859927944203521,0.9999989872470112
0.00029999999992469384,0.0348698673208375,0.10699999999999932,0.860278488251984,0.9999947560183216
0.00029999999992469384,0.0348698673208375,0.14100000000000534,0.8606264345743694,0.9999910798138019
0.00029999999992469384,0.0348698673208375,0.17899999999999494,0.8609588042982449,0.9999880415548353
0.00029999999992469384,0.0348698673208375,0.2260000000000062,0.8612885522002403,0.999985003295869
0.00029999999992469384,0.0348698673208375,0.29300000000000637,0.861648880759201,0.9999784323365277
0.00029999999992469384,0.0348698673208375,0.40099999999999625,0.8619761999132188,0.9999779746077088
0.00029999999992469384,0.0348698673208375,0.761999999999994,0.8622990664598209,0.9999747194194188
0.00029999999992469384,0.0348698673208375,128.57800000000003,0.8623884029006142,0.9999658965285708
0.00029999999992469384,0.047944545798178244,0.030000000000001137,0.8596347959638658,0.9999999999999998
0.00029999999992469384,0.047944545798178244,0.07300000000000324,0.8602005436386219,0.9999969617410334
0.00029999999992469384,0.047944545798178244,0.10699999999999932,0.8607955807787167,0.999986473777677
0.00029999999992469384,0.047944545798178244,0.14100000000000534,0.8613469032840627,0.9999797593141904
0.00029999999992469384,0.047944545798178244,0.17899999999999494,0.8619343146376774,0.9999720320977152
0.00029999999992469384,0.047944545798178244,0.2260000000000062,0.8624590453344209,0.9999650401221447
0.00029999999992469384,0.047944545798178244,0.29300000000000637,0.8630277933911785,0.9999598413405246
0.00029999999992469384,0.047944545798178244,0.40099999999999625,0.8635688655617582,0.9999546946541963
0.00029999999992469384,0.047944545798178244,0.761999999999994,0.8640999084826562,0.9999518971947257
0.00029999999992469384,0.047944545798178244,128.57800000000003,0.8642438552314777,0.9999402768444067
0.00029999999992469384,0.060791995659906214,0.030000000000001137,0.8597111366881581,0.9999999999999998
0.00029999999992469384,0.060791995659906214,0.07300000000000324,0.8604948412479125,0.9999939234820675
0.00029999999992469384,0.060791995659906214,0.10699999999999932,0.861314561942761,0.999981410012733
0.00029999999992469384,0.060791995659906214,0.14100000000000534,0.8620548983087534,0.9999733223627891
