,noise_cnt,runs_no,signal,noise_norm,signal_norm,le_mass,rt_aligned,dt
0.1,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.17899999999999494
0.2,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.17899999999999494
0.30000000000000004,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.17899999999999494
0.4,3.0,3.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.17899999999999494
0.5,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.17899999999999494
0.6000000000000001,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.17899999999999494
0.7000000000000001,6.0,6.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.17899999999999494
0.8,7.0,8.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.17899999999999494
0.9,10.0,10.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.17899999999999494
1.0,10.0,10.0,7.0,1.0,1.0,0.00029999999992469384,0.014525817673930418,0.17899999999999494
0.0,0.0,1.0,0.0,0.0,0.0,0.00029999999992469384,0.014525817673930418,0.2260000000000062
0.1,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.2260000000000062
0.2,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.2260000000000062
0.30000000000000004,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.2260000000000062
0.4,3.0,3.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.2260000000000062
0.5,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.2260000000000062
0.6000000000000001,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.2260000000000062
0.7000000000000001,6.0,6.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.2260000000000062
0.8,7.0,8.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.2260000000000062
0.9,10.0,10.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.2260000000000062
1.0,10.0,10.0,7.0,1.0,1.0,0.00029999999992469384,0.014525817673930418,0.2260000000000062
0.0,0.0,1.0,0.0,0.0,0.0,0.00029999999992469384,0.014525817673930418,0.29300000000000637
0.1,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.29300000000000637
0.2,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.29300000000000637
0.30000000000000004,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.29300000000000637
0.4,3.0,3.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.29300000000000637
0.5,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.29300000000000637
0.6000000000000001,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.29300000000000637
0.7000000000000001,6.0,6.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.29300000000000637
0.8,7.0,8.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.29300000000000637
0.9,10.0,10.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.29300000000000637
1.0,10.0,10.0,7.0,1.0,1.0,0.00029999999992469384,0.014525817673930418,0.29300000000000637
0.0,0.0,1.0,0.0,0.0,0.0,0.00029999999992469384,0.014525817673930418,0.40099999999999625
0.1,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.40099999999999625
0.2,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.40099999999999625
0.30000000000000004,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.40099999999999625
0.4,3.0,3.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.40099999999999625
0.5,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.40099999999999625
0.6000000000000001,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.40099999999999625
0.7000000000000001,6.0,6.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.40099999999999625
0.8,7.0,8.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.40099999999999625
0.9,10.0,10.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.40099999999999625
1.0,10.0,10.0,7.0,1.0,1.0,0.00029999999992469384,0.014525817673930418,0.40099999999999625
0.0,0.0,1.0,0.0,0.0,0.0,0.00029999999992469384,0.014525817673930418,0.7618000000000024
0.1,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.7618000000000024
0.2,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.7618000000000024
0.30000000000000004,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.7618000000000024
0.4,3.0,3.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.7618000000000024
0.5,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.7618000000000024
0.6000000000000001,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.7618000000000024
0.7000000000000001,6.0,6.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.7618000000000024
0.8,7.0,8.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.7618000000000024
0.9,10.0,10.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.7618000000000024
1.0,10.0,10.0,8.0,1.0,1.0,0.00029999999992469384,0.014525817673930418,0.7618000000000024
0.0,0.0,1.0,0.0,0.0,0.0,0.00029999999992469384,0.014525817673930418,128.57800000000003
0.1,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,128.57800000000003
0.2,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,128.57800000000003
0.30000000000000004,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,128.57800000000003
0.4,3.0,3.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,128.57800000000003
